ds,yhat,Commodity,Market
2025-06-10,113.13657983425597,Wheat,Kagio
2025-06-11,-25.550639746207217,Wheat,Kagio
2025-06-12,118.85358899338816,Wheat,Kagio
2025-06-13,97.97773407940369,Wheat,Kagio
2025-06-14,-17.531190312888086,Wheat,Kagio
2025-06-15,-15.113064154500705,Wheat,Kagio
2021-11-15,62.693871421700294,Wheat,Nakuru Wakulima
2021-11-16,57.882556399995366,Wheat,Nakuru Wakulima
2021-11-17,50.74174039813872,Wheat,Nakuru Wakulima
2021-11-18,52.47384307309679,Wheat,Nakuru Wakulima
2021-11-19,56.77638706393765,Wheat,Nakuru Wakulima
2021-11-22,63.779983844117865,Wheat,Nakuru Wakulima
2021-11-23,58.42810172558599,Wheat,Nakuru Wakulima
2021-11-24,50.471267453449805,Wheat,Nakuru Wakulima
2021-11-25,51.433059658234555,Wheat,Nakuru Wakulima
2021-11-26,55.33034061219765,Wheat,Nakuru Wakulima
2021-11-29,61.27400443287045,Wheat,Nakuru Wakulima
2021-11-30,55.665168781915916,Wheat,Nakuru Wakulima
2021-12-02,49.002361526094155,Wheat,Nakuru Wakulima
2021-12-03,53.18807739428029,Wheat,Nakuru Wakulima
2021-12-06,60.662877731547,Wheat,Nakuru Wakulima
2021-12-07,55.730422704130234,Wheat,Nakuru Wakulima
2021-12-08,48.67060675219771,Wheat,Nakuru Wakulima
2021-12-09,50.53814881398405,Wheat,Nakuru Wakulima
2021-12-15,53.77238253597581,Wheat,Nakuru Wakulima
2021-12-16,55.878555172260484,Wheat,Nakuru Wakulima
2021-12-20,69.73037448419107,Wheat,Nakuru Wakulima
2021-12-21,64.78966215723052,Wheat,Nakuru Wakulima
2021-12-23,58.84148160502782,Wheat,Nakuru Wakulima
2021-12-29,54.861670871758186,Wheat,Nakuru Wakulima
2021-12-30,55.351638690013964,Wheat,Nakuru Wakulima
2022-01-04,56.901796265302806,Wheat,Nakuru Wakulima
2022-01-05,48.54616671849287,Wheat,Nakuru Wakulima
2022-01-06,49.09430009333063,Wheat,Nakuru Wakulima
2022-01-07,52.71203290211325,Wheat,Nakuru Wakulima
2022-01-10,58.56688408503492,Wheat,Nakuru Wakulima
2022-01-12,45.62085020673428,Wheat,Nakuru Wakulima
2022-01-13,47.06556283316604,Wheat,Nakuru Wakulima
2022-01-14,51.61516995673666,Wheat,Nakuru Wakulima
2022-01-18,55.5912550493196,Wheat,Nakuru Wakulima
2022-01-19,48.78704623829409,Wheat,Nakuru Wakulima
2022-01-20,50.83698880946683,Wheat,Nakuru Wakulima
2022-01-21,55.86498870075521,Wheat,Nakuru Wakulima
2022-01-24,65.0355530964773,Wheat,Nakuru Wakulima
2022-01-25,60.31332910678211,Wheat,Nakuru Wakulima
2022-01-26,53.26250197129394,Wheat,Nakuru Wakulima
2022-01-27,54.93372055990543,Wheat,Nakuru Wakulima
2022-01-28,59.46493766335573,Wheat,Nakuru Wakulima
2022-01-31,66.62560280130562,Wheat,Nakuru Wakulima
2022-02-01,61.116469999248515,Wheat,Nakuru Wakulima
2022-02-02,53.288771428453494,Wheat,Nakuru Wakulima
2022-02-04,58.01107291536865,Wheat,Nakuru Wakulima
2022-02-07,63.489667680223874,Wheat,Nakuru Wakulima
2022-02-08,57.64329356393377,Wheat,Nakuru Wakulima
2022-02-09,49.58603853719979,Wheat,Nakuru Wakulima
2022-02-10,50.399948465506775,Wheat,Nakuru Wakulima
2022-02-11,54.24937454928172,Wheat,Nakuru Wakulima
2022-02-14,60.5917743442701,Wheat,Nakuru Wakulima
2022-02-16,47.830022603108276,Wheat,Nakuru Wakulima
2022-02-17,49.31326681576085,Wheat,Nakuru Wakulima
2022-02-18,53.87720016774796,Wheat,Nakuru Wakulima
2022-02-21,62.40603768280166,Wheat,Nakuru Wakulima
2022-02-22,57.743867796648054,Wheat,Nakuru Wakulima
2022-02-23,50.8908709196676,Wheat,Nakuru Wakulima
2022-02-24,52.891562638989775,Wheat,Nakuru Wakulima
